timestamp_s,can_id_hex,dlc,data_hex,signals_json
1780225924.536,0x100,8,00 0D 4E 98 EB 24 00 F5,speed=0.00
1780225924.602,0x200,8,FD 64 CB 6A 99 99 3C 1E,fuel=100.00
1780225924.697,0x300,8,02 1A 5A 45 2F 8D B5 CA,temp=42.00
1780225924.799,0x100,8,00 04 2F 82 5D 30 25 9B,speed=0.00
1780225924.882,0x200,8,C6 64 35 37 0A FA 7E 77,fuel=100.00
1780225924.981,0x300,8,02 C0 74 56 48 41 EE F5,temp=42.00
1780225925.065,0x100,8,00 81 94 B0 E9 19 78 34,speed=0.00
1780225925.165,0x200,8,28 64 53 75 C0 69 10 19,fuel=100.00
1780225925.267,0x300,8,02 E1 3F E7 E7 1F 37 1D,temp=42.00
1780225925.349,0x100,8,00 1A 29 F7 EA C3 C4 1D,speed=0.00
1780225925.446,0x200,8,C4 64 9E 40 25 A5 E1 0A,fuel=100.00
1780225925.546,0x300,8,02 A0 01 F7 1F 60 B2 45,temp=42.00
1780225925.630,0x100,8,00 2D FE 30 1B CA 54 B4,speed=0.00
1780225925.731,0x200,8,A1 64 DB 32 80 37 72 6A,fuel=100.00
1780225925.814,0x300,8,02 EE 5E 82 E2 1D A5 90,temp=42.00
1780225925.914,0x100,8,00 93 49 A7 8E B6 A2 2A,speed=0.00
1780225926.014,0x200,8,D1 64 B3 87 46 B7 C5 BB,fuel=100.00
1780225926.097,0x300,8,02 54 74 E9 81 AB EF 28,temp=42.00
1780225926.196,0x100,8,00 0B F6 6D DB 7F D9 B9,speed=0.00
1780225926.297,0x200,8,48 64 14 D7 ED 3D 71 46,fuel=100.00
1780225926.381,0x300,8,02 B8 DB 48 D0 BC A1 65,temp=42.00
1780225926.548,0x100,8,00 7C 78 9A 20 54 EF 2D,speed=0.00
1780225926.632,0x200,8,1D 64 15 3E A8 D4 37 7A,fuel=100.00
1780225926.741,0x300,8,02 C5 5C 6B D7 5E 1B 6F,temp=42.00
1780225926.830,0x100,8,00 E5 11 3A AB 33 28 B9,speed=0.00
1780225926.914,0x200,8,07 64 23 8E CB 8B 13 3C,fuel=100.00
1780225927.076,0x300,8,02 FB B9 A0 AB 31 E7 F0,temp=42.00
1780225927.165,0x100,8,00 68 C9 55 10 D5 39 DA,speed=0.00
1780225927.265,0x200,8,1A 64 AA 40 6D 61 F5 AA,fuel=100.00
1780225927.348,0x300,8,02 EF EC 4A 83 F2 8F EE,temp=42.00
1780225927.448,0x100,8,00 8B 91 10 C0 D8 05 67,speed=0.00
1780225927.547,0x200,8,87 64 D8 C6 89 BF 4F 52,fuel=100.00
1780225927.631,0x300,8,02 81 25 4E F3 3B B7 8F,temp=42.00
1780225927.731,0x100,8,00 64 65 B3 1C 01 05 85,speed=0.00
1780225927.831,0x200,8,38 64 2D DB 56 88 54 2B,fuel=100.00
1780225927.930,0x300,8,02 85 A1 AE 5C 5F DF BD,temp=42.00
1780225928.015,0x100,8,00 68 37 33 D5 E9 73 DA,speed=0.00
1780225928.098,0x200,8,E0 64 B3 B4 1D 3A 81 2D,fuel=100.00
1780225928.248,0x300,8,02 07 C5 E9 1E A8 73 46,temp=42.00
1780225928.331,0x100,8,00 D0 3C 2B C6 06 7C 90,speed=0.00
1780225928.498,0x200,8,BA 64 E3 AD 2D F1 BC FD,fuel=100.00
1780225928.831,0x300,8,02 62 AD 74 F0 18 9A 1F,temp=42.00
